Indicator,Name,ORGID ,FACID ,Cohort,Fiscal Year,Value
Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY14,113076543
Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY15,115918818
Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY16,124324320
Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY17,129133527
Operating Revenue,Anna Jaques Hospital,1,2006,Community Hospital,FY18,133753444
Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY14,22762029
Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY15,22915645
Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY16,23727967
Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY17,27060809
Operating Revenue,Athol Hospital,2,2226,Community High Public Payer Hospital,FY18,27013055
Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY14,83453000
Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY15,94543000
Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY16,98170000
Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY17,98620000
Operating Revenue,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY18,102662000
Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY14,1052671000
Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY15,1127011000
Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY16,1178172000
Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY17,1227103000
Operating Revenue,Baystate Medical Center,4,2339,Teaching Hospital,FY18,1296222000
Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY14,57253216
Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY15,58782641
Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY16,61082081
Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY17,56581913
Operating Revenue,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY18,58354000
Operating Revenue,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY14,25848000
Operating Revenue,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY15,26545000
Operating Revenue,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY16,21806000
Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY14,87362000
Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY15,74557000
Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY16,75726000
Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY17,86405000
Operating Revenue,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY18,85572000
Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY14,387238285
Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY15,438842510
Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY16,476553616
Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY17,485997799
Operating Revenue,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY18,509073188
Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY14,83145835
Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY15,96316532
Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY16,105487955
Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY17,117872858
Operating Revenue,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY18,122065000
Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY14,69984123
Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY15,77622739
Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY16,82505643
Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY17,86682039
Operating Revenue,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY18,97057000
Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY14,190537102
Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY15,217504083
Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY16,236605963
Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY17,260709834
Operating Revenue,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY18,274301000
Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY14,1416631973
Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY15,1517745855
Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY16,1595385578
Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY17,1688438563
Operating Revenue,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY18,1818540000
Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY14,1386851000
Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY15,1411861921
Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY16,1533319000
Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY17,1664958000
Operating Revenue,Boston Children's Hospital ,46,2139,Specialty Hospital,FY18,1753978000
Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY14,1086950000
Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY15,1137309000
Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY16,1242762000
Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY17,1325677000
Operating Revenue,Boston Medical Center,3107,2307,Academic Medical Center,FY18,1481442000
Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY14,208024000
Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY15,219010000
Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY16,254856000
Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY17,275259000
Operating Revenue,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY18,278304000
Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY14,2537988000
Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY15,2605872000
Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY16,2730490000
Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY17,2935757000
Operating Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY18,3096239000
Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY14,530340004
Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY15,574389174
Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY16,571730484
Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY17,589830139
Operating Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY18,649619097.5
Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY14,449064114
Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY15,473880358
Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY16,513485081
Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY17,541817124
Operating Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY18,570753006
Operating Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY14,26492000
Operating Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY15,26399000
Operating Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY16,26749000
Operating Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY17,25334000
Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY14,153377000
Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY15,157488000
Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY16,178065000
Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY17,183042000
Operating Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY18,184488000
Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY14,1019428964
Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY15,1117426269
Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY16,1293470053
Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY17,1429333962
Operating Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY18,1633534803
Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY14,192449958
Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY15,203360763
Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY16,222170722
Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY17,238836487
Operating Revenue,Emerson Hospital,57,2018,Community Hospital,FY18,252299577
Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY14,47041303
Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY15,48781692
Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY16,49740423
Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY17,50212861
Operating Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY18,54198666
Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY14,155207462
Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY15,157264577
Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY16,162962750
Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY17,158187478
Operating Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY18,164625307
Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY14,113406491
Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY15,124002063
Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY16,135468030
Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY17,137936967
Operating Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY18,142821103
Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY14,161309410
Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY15,168036476
Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY16,181019412
Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY17,188358374
Operating Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY18,200464000
Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY14,102257679
Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY15,106348106
Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY16,110733230
Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY17,114849145
Operating Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY18,123664598
Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY14,122835826
Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY15,127050033
Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY16,142393088
Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY17,153244240
Operating Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY18,167226265
Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY14,821386209
Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY15,836876194
Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY16,923562782
Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY17,949195887
Operating Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY18,1010494621
Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY14,228694000
Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY15,226278000
Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY16,241415000
Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY17,247817000
Operating Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY18,253636000
Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY14,415630458
Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY15,430220391
Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY16,441385052
Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY17,451764000
Operating Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY18,472573000
Operating Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY14,80462000
